country;;AT (total heat demand MW)
2017-01-13T19:00:00Z;2017-01-13T20:00:00;11816
2017-01-13T20:00:00Z;2017-01-13T21:00:00;10702
2017-01-13T21:00:00Z;2017-01-13T22:00:00;8597
2017-01-13T22:00:00Z;2017-01-13T23:00:00;7081
2017-01-13T23:00:00Z;2017-01-14T00:00:00;6899
2017-01-14T00:00:00Z;2017-01-14T01:00:00;7146
2017-01-14T01:00:00Z;2017-01-14T02:00:00;7317
2017-01-14T02:00:00Z;2017-01-14T03:00:00;7847
2017-01-14T03:00:00Z;2017-01-14T04:00:00;9013
2017-01-14T04:00:00Z;2017-01-14T05:00:00;12217
2017-01-14T05:00:00Z;2017-01-14T06:00:00;14572
2017-01-14T06:00:00Z;2017-01-14T07:00:00;14067
2017-01-14T07:00:00Z;2017-01-14T08:00:00;13717
2017-01-14T08:00:00Z;2017-01-14T09:00:00;13172
2017-01-14T09:00:00Z;2017-01-14T10:00:00;12594
2017-01-14T10:00:00Z;2017-01-14T11:00:00;12075
2017-01-14T11:00:00Z;2017-01-14T12:00:00;11763
2017-01-14T12:00:00Z;2017-01-14T13:00:00;11638
2017-01-14T13:00:00Z;2017-01-14T14:00:00;11722
2017-01-14T14:00:00Z;2017-01-14T15:00:00;11926
2017-01-14T15:00:00Z;2017-01-14T16:00:00;12396
2017-01-14T16:00:00Z;2017-01-14T17:00:00;12696
2017-01-14T17:00:00Z;2017-01-14T18:00:00;12694
2017-01-14T18:00:00Z;2017-01-14T19:00:00;12584
2017-01-14T19:00:00Z;2017-01-14T20:00:00;12196
2017-01-14T20:00:00Z;2017-01-14T21:00:00;11047
2017-01-14T21:00:00Z;2017-01-14T22:00:00;8869
2017-01-14T22:00:00Z;2017-01-14T23:00:00;7294
2017-01-14T23:00:00Z;2017-01-15T00:00:00;6959
2017-01-15T00:00:00Z;2017-01-15T01:00:00;7214
2017-01-15T01:00:00Z;2017-01-15T02:00:00;7381
2017-01-15T02:00:00Z;2017-01-15T03:00:00;7913
2017-01-15T03:00:00Z;2017-01-15T04:00:00;9087
2017-01-15T04:00:00Z;2017-01-15T05:00:00;12320
2017-01-15T05:00:00Z;2017-01-15T06:00:00;14681
2017-01-15T06:00:00Z;2017-01-15T07:00:00;14181
2017-01-15T07:00:00Z;2017-01-15T08:00:00;13829
2017-01-15T08:00:00Z;2017-01-15T09:00:00;13289
2017-01-15T09:00:00Z;2017-01-15T10:00:00;12701
2017-01-15T10:00:00Z;2017-01-15T11:00:00;12179
2017-01-15T11:00:00Z;2017-01-15T12:00:00;11858
2017-01-15T12:00:00Z;2017-01-15T13:00:00;11733
2017-01-15T13:00:00Z;2017-01-15T14:00:00;11824
2017-01-15T14:00:00Z;2017-01-15T15:00:00;12027
2017-01-15T15:00:00Z;2017-01-15T16:00:00;12495
2017-01-15T16:00:00Z;2017-01-15T17:00:00;12800
2017-01-15T17:00:00Z;2017-01-15T18:00:00;12793
2017-01-15T18:00:00Z;2017-01-15T19:00:00;12680
2017-01-15T19:00:00Z;2017-01-15T20:00:00;12290
2017-01-15T20:00:00Z;2017-01-15T21:00:00;11132
2017-01-15T21:00:00Z;2017-01-15T22:00:00;8935
2017-01-15T22:00:00Z;2017-01-15T23:00:00;7354
2017-01-15T23:00:00Z;2017-01-16T00:00:00;6508
2017-01-16T00:00:00Z;2017-01-16T01:00:00;6762
2017-01-16T01:00:00Z;2017-01-16T02:00:00;6939
2017-01-16T02:00:00Z;2017-01-16T03:00:00;7410
2017-01-16T03:00:00Z;2017-01-16T04:00:00;8596
2017-01-16T04:00:00Z;2017-01-16T05:00:00;11750
2017-01-16T05:00:00Z;2017-01-16T06:00:00;14145
2017-01-16T06:00:00Z;2017-01-16T07:00:00;13687
2017-01-16T07:00:00Z;2017-01-16T08:00:00;13286
2017-01-16T08:00:00Z;2017-01-16T09:00:00;12748
2017-01-16T09:00:00Z;2017-01-16T10:00:00;12198
2017-01-16T10:00:00Z;2017-01-16T11:00:00;11695
2017-01-16T11:00:00Z;2017-01-16T12:00:00;11362
2017-01-16T12:00:00Z;2017-01-16T13:00:00;11221
2017-01-16T13:00:00Z;2017-01-16T14:00:00;11321
2017-01-16T14:00:00Z;2017-01-16T15:00:00;11503
